workout_name,rating_number,rating_name,workout_type,workout_muscle,workout_equipment,workout_level,workout_img_1,workout_img_2,muscle_group_img,instructions

Dumbbell Bench Press,9.2,Excellent,Strength,Chest,Dumbbell,Beginner,https://www.bodybuilding.com/exercises/exerciseImages/sequences/1/Male/m/1_2.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/1/Male/m/1_1.jpg,https://artifacts.bbcomcdn.com/exercises-app/1.2.1/img/guide-1.gif,"1.) Lie down on a flat bench with a dumbbell in each hand resting on top of your thighs. The palms of your hands will be facing each other.

2.) Then, using your thighs to help raise the dumbbells up, lift the dumbbells one at a time so that you can hold them in front of you at shoulder width.

3.) Once at shoulder width, rotate your wrists forward so that the palms of your hands are facing away from you.  The dumbbells should be just to the sides of your chest, with your upper arm and forearm creating a 90 degree angle.  Be sure to maintain full control of the dumbbells at all times.  This will be your starting position.

4.) Then, as you breathe out, use your chest to push the dumbbells up.  Lock your arms at the top of the lift and squeeze your chest, hold for a second and then begin coming down slowly. Tip: Ideally, lowering the weight should take about twice as long as raising it.

5.) Repeat the movement for the prescribed amount of repetitions of your training program.

"
Pushups,9.2,Excellent,Strength,Chest,Body Only,Beginner,https://www.bodybuilding.com/exercises/exerciseImages/sequences/70/Male/m/70_2.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/70/Male/m/70_1.jpg,https://artifacts.bbcomcdn.com/exercises-app/1.2.1/img/guide-1.gif,"1.) Lie on the floor face down and place your hands about 36 inches apart while holding your torso up at arms length.

2.) Next, lower yourself downward until your chest almost touches the floor as you inhale.

3.) Now breathe out and press your upper body back up to the starting position while squeezing your chest.

4.) After a brief pause at the top contracted position, you can begin to lower yourself downward again for as many repetitions as needed.

"
Dumbbell Flyes,9.1,Excellent,Strength,Chest,Dumbbell,Beginner,https://www.bodybuilding.com/exercises/exerciseImages/sequences/12/Male/m/12_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/12/Male/m/12_2.jpg,https://artifacts.bbcomcdn.com/exercises-app/1.2.1/img/guide-1.gif,"1.)  Lie down on a flat bench with a dumbbell on each hand resting on top of your thighs. The palms of your hand will be facing each other.

2.)  Then using your thighs to help raise the dumbbells, lift the dumbbells one at a time so you can hold them in front of you at shoulder width with the palms of your hands facing each other.  Raise the dumbbells up like you're pressing them, but stop and hold just before you lock out. This will be your starting position.

3.)  With a slight bend on your elbows in order to prevent stress at the biceps tendon, lower your arms out at both sides in a wide arc until you feel a stretch on your chest.  Breathe in as you perform this portion of the movement.  Tip: Keep in mind that throughout the movement, the arms should remain stationary; the movement should only occur at the shoulder joint.

4.)  Return your arms back to the starting position as you squeeze your chest muscles and breathe out.  Tip: Make sure to use the same arc of motion used to lower the weights.

5.)  Hold for a second at the contracted position and repeat the movement for the prescribed amount of repetitions.

"
Incline Dumbbell Press,9.1,Excellent,Strength,Chest,Dumbbell,Beginner,https://www.bodybuilding.com/exercises/exerciseImages/sequences/380/Male/m/380_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/380/Male/m/380_2.jpg,https://artifacts.bbcomcdn.com/exercises-app/1.2.1/img/guide-1.gif,"1.) Lie back on an incline bench with a dumbbell in each hand atop your thighs. The palms of your hands will be facing each other.

2.) Then, using your thighs to help push the dumbbells up, lift the dumbbells one at a time so that you can hold them at shoulder width.

3.) Once you have the dumbbells raised to shoulder width, rotate your wrists forward so that the palms of your hands are facing away from you.  This will be your starting position.

4.) Be sure to keep full control of the dumbbells at all times.  Then breathe out and push the dumbbells up with your chest.

5.) Lock your arms at the top, hold for a second, and then start slowly lowering the weight. Tip Ideally, lowering the weights should take about twice as long as raising them.

6.) Repeat the movement for the prescribed amount of repetitions.

7.) When you are done, place the dumbbells back on your thighs and then on the floor.  This is the safest manner to release the dumbbells.

"
Low Cable Crossover,9.1,Excellent,Strength,Chest,Cable,Beginner,https://www.bodybuilding.com/exercises/exerciseImages/sequences/1621/Male/m/1621_2.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/1621/Male/m/1621_1.jpg,https://artifacts.bbcomcdn.com/exercises-app/1.2.1/img/guide-1.gif,"1.) To move into the starting position, place the pulleys at the low position, select the resistance to be used and grasp a handle in each hand.

2.) Step forward, gaining tension in the pulleys. Your palms should be facing forward, hands below the waist, and your arms straight. This will be your starting position.

3.) With a slight bend in your arms, draw your hands upward and toward the midline of your body. Your hands should come together in front of your chest, palms facing up. 

4.) Return your arms back to the starting position after a brief pause. 

"
Decline Dumbbell Flyes,9,Excellent,Strength,Chest,Dumbbell,Beginner,https://www.bodybuilding.com/exercises/exerciseImages/sequences/36/Male/m/36_2.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/36/Male/m/36_1.jpg,https://artifacts.bbcomcdn.com/exercises-app/1.2.1/img/guide-1.gif,"1.)  Secure your legs at the end of the decline bench and lie down with a dumbbell on each hand on top of your thighs. The palms of your hand will be facing each other.

2.)  Once you are laying down, move the dumbbells in front of you at shoulder width.  The palms of the hands should be facing each other and the arms should be perpendicular to the floor and fully extended. This will be your starting position.

3.)  With a slight bend on your elbows in order to prevent stress at the biceps tendon, lower your arms out at both sides in a wide arc until you feel a stretch on your chest.  Breathe in as you perform this portion of the movement.  Tip: Keep in mind that throughout the movement, the arms should remain stationary; the movement should only occur at the shoulder joint.

4.)  Return your arms back to the starting position as you squeeze your chest muscles and breathe out.  Tip: Make sure to use the same arc of motion used to lower the weights.

5.)  Hold for a second at the contracted position and repeat the movement for the prescribed amount of repetitions.

"
Dips - Chest Version,9,Excellent,Strength,Chest,Other,Intermediate,https://www.bodybuilding.com/exercises/exerciseImages/sequences/145/Male/m/145_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/145/Male/m/145_2.jpg,https://artifacts.bbcomcdn.com/exercises-app/1.2.1/img/guide-1.gif,"1.) For this exercise you will need access to parallel bars.  To get yourself into the starting position, hold your body at arms length (arms locked) above the bars.

2.) While breathing in, lower yourself slowly with your torso leaning forward around 30 degrees or so and your elbows flared out slightly until you feel a slight stretch in the chest.

3.) Once you feel the stretch, use your chest to bring your body back to the starting position as you breathe out. Tip: Remember to squeeze the chest at the top of the movement for a second.

4.) Repeat the movement for the prescribed amount of repetitions.

"
Barbell Bench Press - Medium Grip,9,Excellent,Strength,Chest,Barbell,Beginner,https://www.bodybuilding.com/exercises/exerciseImages/sequences/360/Male/m/360_2.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/360/Male/m/360_1.jpg,https://artifacts.bbcomcdn.com/exercises-app/1.2.1/img/guide-1.gif,"1.) Lie back on a flat bench.  Using a medium width grip (a grip that creates a 90-degree angle in the middle of the movement between the forearms and the upper arms), lift the bar from the rack and hold it straight over you with your arms locked.  This will be your starting position.

2.) From the starting position, breathe in and begin coming down slowly until the bar touches your middle chest.

3.) After a brief pause, push the bar back to the starting position as you breathe out.  Focus on pushing the bar using your chest muscles.  Lock your arms and squeeze your chest in the contracted position at the top of the motion, hold for a second and then start coming down slowly again. Tip: Ideally, lowering the weight should take about twice as long as raising it.

4.) Repeat the movement for the prescribed amount of repetitions.

5.) When you are done, place the bar back in the rack.

"
Bodyweight Flyes,9,Excellent,Strength,Chest,E-Z Curl Bar,Intermediate,https://www.bodybuilding.com/exercises/exerciseImages/sequences/1561/Male/m/1561_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/1561/Male/m/1561_2.jpg,https://artifacts.bbcomcdn.com/exercises-app/1.2.1/img/guide-1.gif,"1.) Position two equally loaded EZ bars on the ground next to each other. Ensure they are able to roll.

2.) Assume a push-up position over the bars, supporting your weight on your toes and hands with your arms extended and body straight. 

3.) Place your hands on the bars. This will be your starting position.

4.) Using a slow and controlled motion, move your hands away from the midline of your body, rolling the bars apart. Inhale during this portion of the motion.

5.) After moving the bars as far apart as you can, return to the starting position by pulling them back together. Exhale as you perform this movement. 

"
