Purchase Link,Title,Author,Publish Date,Cost,Book Types,Rating,Review Number,Synopsis
https://www.amazon.com/From-The-Ashes/dp/B00JS8ICGY/ref=sr_1_1/140-2058831-3926238?ie=UTF8&qid=1541819036&sr=1-1,From The Ashes,"Mark Tufo, Sean Runnette","Apr 18, 2014",$4.99-$20.95,"Audible Audiobook, Kindle Edition, …More",5 out of 5 stars,97,"It has been three years since the Progerians left their mark of devastation upon Earth. The remaining humans are in a desperate race against time as they do their best to reverse engineer the alien technology they captured, in an effort to bolster their beleaguered defenses against the oncoming onslaught of Progerians hell-bent on revenge. Revenge against the humans that thwarted their take-over and revenge against the subordinate Genogerians that helped.Michael Talbot once again finds himself at the forefront to protect all that is sacred to him. He will receive help from some unexpected allies but will it be enough?"
https://www.amazon.com/Instauration-City-Sarah-Lyons-Fleming/dp/1723996750/ref=sr_1_2/140-2058831-3926238?s=books&ie=UTF8&qid=1541819036&sr=1-2,Instauration (The City Series),Sarah Lyons Fleming (Author),"Sep 25, 2018",$0.00-$20.99,"Paperback, Kindle Edition",5 out of 5 stars,83,"Sunset Park is gone. People are missing. Sylvie, Eric, and the other survivors have crossed the water to the security of a new Safe Zone, where they hope to heal their battered hearts, amass an armory, and get back at the ones who took it all away. But with zombies on the move and few resources to speak of, its harder than expected to plot their revenge. For some, its harder still to garner their resolve, since vengeance means more of them will die. But safety is ephemeral in a city where food is short and tensions are high. It seems fate may leave them no choice but to fightand perhaps dieto restore their city to a place they can call home."
https://www.amazon.com/Dead-Hunger-VII-Reign-Isis-ebook/dp/B00LOZN1UG/ref=sr_1_3/140-2058831-3926238?s=books&ie=UTF8&qid=1541819036&sr=1-3,Dead Hunger VII: The Reign Of Isis,Eric A. Shelman (Author),"Jul 9, 2014",$2.99-$21.95,"Kindle Edition, Paperback, Audible Audiobook",5 out of 5 stars,84,"Haven't read Book 1 in the series yet? Get it FREE on Amazon here: https://www.amazon.com/Dead-Hunger-Flex-Sheridan-Chronicle-ebook/dp/B005SHO3BC**COMPLETE 10-BOOK SERIES. No need to wait for the next book!**Over a dozen years have passed since a massive storm devastated Whitmire, South Carolina.Settling in the town of Kingman, Kansas, our survivors press on, creating a community where people can live and thrive.  Of course, there are unique defenses as one might expect.Max Chatsworth and Isis Gammon are Hybrids; special beings borne of the apocalypse who have recognized a building threat.  Somewhere to the northwest of Kingman, a horde of the walking dead awaits, and despite their efforts, the creatures resist the far-reaching summons of the Hybrids.To do nothing could ultimately result in an onslaught so brutal and overpowering that nobody in Kingman would survive.  If the Mothers and Hungerers will not come to Kingman, Max and Isis must make the harrowing journey northwest to seek them out and destroy them where they stand."
https://www.amazon.com/Judgment-Alternate-Earth-Book-3-ebook/dp/B015X4LO5W/ref=sr_1_4/140-2058831-3926238?s=books&ie=UTF8&qid=1541819036&sr=1-4,"Judgment (The Alternate Earth Series, Book 3)",S.J. West (Author),"Sep 28, 2015",$0.00-$11.99,"Kindle Edition, Paperback",5 out of 5 stars,70,"As Jess deals with the repercussions of Ravans latest earth-shattering actions, she soon realizes that not everything is as it seems. Being surrounded by the enemy on all sides, Jess quickly learns who has her back and who wants to stab it. Once shes able to carry on with her God given mission, the stakes rise to monstrous proportions for Jess and the other vessels, forcing them to place their lives on the line for a world that is not their own. As events unfold, even Lucifer finds life on alternate Earth not nearly as entertaining as he thought it would be. His disappointment in Lucians plan grows exponentially with each catastrophe the princes of Hell unleash. Jess maintains her hope for Lucifers soul, however futile, as she witnesses his unease with the happenings on alternate Earth. Even though he professes to hate humanity, Jess sees a glimmer of hope for her friend and refuses to give up on saving his soul.God obviously has His reasons for wanting to protect this particular reality, and even though alternate Earth isnt their home, Jess and her friends know they must do everything within their power to save it."
https://www.amazon.com/Awaken-Online-Precipice-Travis-Bagwell-ebook/dp/B01N5NPTUS/ref=sr_1_5/140-2058831-3926238?s=books&ie=UTF8&qid=1541819036&sr=1-5,Awaken Online: Precipice,Travis Bagwell (Author),"Mar 26, 2017",$0.00-$21.95,"Kindle Edition, Paperback, Audible Audiobook",4.9 out of 5 stars,747,"A few days have passed since Jason's confrontation with Alfred and he's debating whether to re-enter Awaken Online.  Alfred has made a proposition that Jason isn't certain he should accept.  After the battle with Alexion, Jason has also been appointed as the Regent of the Twilight Throne.  He must assume the mantle of ruling an undead city  with everything that entails.  His first task is to investigate the dark keep that looms over the citys marketplace.  This act will lead to a chain of events that might ensure his citys survival or create new enemies.Meanwhile, Alex re-enters the game listless and angry after his loss against Jason.  With his reputation in the gutter and no prospects, he will face a choice regarding how he intends to blaze his path through the game."
https://www.amazon.com/Slow-Burn-Sanctum-Zombie-Apocalypse-ebook/dp/B01D8V947M/ref=sr_1_6/140-2058831-3926238?s=books&ie=UTF8&qid=1541819036&sr=1-6,"Slow Burn: Sanctum, Book 9 (Slow Burn Zombie Apocalypse Series)",Bobby Adair (Author),"Mar 20, 2016",$0.00-$17.95,"Kindle Edition, Paperback, Audible Audiobook",4.9 out of 5 stars,722,"Will Any Sanctuary Stand?With both the Naked Horde and the Survivor Army destroyed, Zed and Murphy make their preparations and head to College Station to do their small part in salvaging humanitys future. But the post-virus world isnt kind to humans or their plans and nothing they find on their journey is what they expected. Slow Burn Zombie Apocalypse Series Book 1  Zero Day Book 2  Infected Book 3  Destroyer Book 4  Dead Fire Book 5  Torrent Book 6  Bleed Book 7  City of Stin Book 8 - Grind Book 9 - Sanctum"
https://www.amazon.com/Harden-Lee-Remaining-Universe-Book-ebook/dp/B07GH266GP/ref=sr_1_7/140-2058831-3926238?s=books&ie=UTF8&qid=1541819036&sr=1-7,Harden (Lee Harden Series (The Remaining Universe) Book 1),DJ Molles (Author),"Oct 23, 2018",$0.00-$21.95,"Kindle Edition, Audible Audiobook",5 out of 5 stars,65,"Its been three years since Lee Harden emerged from his bunker into a world gone mad. Governments have fallen. And new ones have taken their place. In the United Eastern States, Lee and his team of battle-hardened operatives walk a tightrope of survival, keeping their fledgling society safe from the creatures beyond their gates--and from the enemies within.Then, an ambush in hostile territory reveals a traitor in their midst--and leaves Lee barely clinging to life. Wounded and on the run, Lee and his team race to uncover the leak before its too late. Through a background of destruction, betrayal, and newly-evolved apex predators, they must stay one step ahead of a ruthless organization spreading out of the south--an organization that has allied with someone who wants Lee dead, and the United Eastern States demolished. But how do you stay ahead of an enemy that knows every move you make?Reintroducing one of the most beloved heroes in post-apocalyptic fiction, HARDEN immerses you in a reality of desperate gambits, where wrong moves could cost the lives of thousands, but saving them could cost your humanity. The only rule is NEVER STOP FIGHTING."
https://www.amazon.com/Zombie-Fallout-Tattered-Mark-Tufo/dp/1517783143/ref=sr_1_8/140-2058831-3926238?s=books&ie=UTF8&qid=1541819036&sr=1-8,Zombie Fallout 9: Tattered Remnants (Volume 9),Mark Tufo (Author),"Oct 11, 2015",$4.99-$21.95,"Paperback, Kindle Edition, Audible Audiobook, …More",4.9 out of 5 stars,428,"In a world overrun by zombies, one family struggles against all odds to hold on. With three vampires closing in can the Talbot family withstand the coming onslaught? Or will they become a footnote in the history of the apocalypse."
https://www.amazon.com/All-Stars-Sky-Until-World/dp/1507568916/ref=sr_1_9/140-2058831-3926238?s=books&ie=UTF8&qid=1541819036&sr=1-9,"All the Stars in the Sky: Until the End of the World, Book 3 (Volume 3)",Sarah Lyons Fleming (Author),"Feb 10, 2015",$0.00-$26.95,"Paperback, Kindle Edition, Audible Audiobook",4.9 out of 5 stars,381,"Cassie Forrest has sworn shell never let the world get the best of her again. Shes chosen to believe everything will be all right. But on a journey filled with heartbreak and madness and zombies, Cassie and her friends must struggle to stay aliveand its hard to believe in a future when survival seems unlikely."
https://www.amazon.com/Blackout-Breakers-Book-8/dp/B01N6GK9Y9/ref=sr_1_10/140-2058831-3926238?ie=UTF8&qid=1541819036&sr=1-10,"Blackout: Breakers, Book 8","Edward W. Robertson, Ray Chase, Podium Publishing","Dec 27, 2016",$4.99-$26.95,"Audible Audiobook, Kindle Edition, …More",4.9 out of 5 stars,362,The final book in the postapocalyptic Breakers series.
